uuid,level,type,metric,score
14820,emb,a_0_a_6,s,0.9918034
14820,emb,a_0_a_7,s,0.9855538
14820,emb,a_1_a_2,s,0.9737334
14820,emb,a_1_a_3,s,0.97404146
14820,emb,a_1_a_4,s,0.9805545
14820,emb,a_1_a_5,s,0.97837865
14820,emb,a_1_a_6,s,0.9738976
14820,emb,a_1_a_7,s,0.965255
14820,emb,a_2_a_3,s,0.99591416
14820,emb,a_2_a_4,s,0.9815413
14820,emb,a_2_a_5,s,0.9627309
14820,emb,a_2_a_6,s,0.9959334
14820,emb,a_2_a_7,s,0.98763645
14820,emb,a_3_a_4,s,0.9831587
14820,emb,a_3_a_5,s,0.9674151
14820,emb,a_3_a_6,s,0.9998145
14820,emb,a_3_a_7,s,0.98365796
14820,emb,a_4_a_5,s,0.98199034
14820,emb,a_4_a_6,s,0.9825082
14820,emb,a_4_a_7,s,0.96519154
14820,emb,a_5_a_6,s,0.9668366
14820,emb,a_5_a_7,s,0.9474196
14820,emb,a_6_a_7,s,0.98350513
14821,emb,a_0_a_1,s,1.0000001
14821,emb,a_0_a_2,s,0.99907744
14821,emb,a_0_a_3,s,0.9976578
14821,emb,a_0_a_4,s,0.9993508
14821,emb,a_0_a_5,s,0.9986614
14821,emb,a_0_a_6,s,0.9988141
14821,emb,a_0_a_7,s,0.9986614
14821,emb,a_1_a_2,s,0.99907744
14821,emb,a_1_a_3,s,0.9976578
14821,emb,a_1_a_4,s,0.9993508
14821,emb,a_1_a_5,s,0.9986614
14821,emb,a_1_a_6,s,0.9988141
14821,emb,a_1_a_7,s,0.9986614
14821,emb,a_2_a_3,s,0.9985317
14821,emb,a_2_a_4,s,0.9984117
14821,emb,a_2_a_5,s,0.9997231
14821,emb,a_2_a_6,s,0.99980855
14821,emb,a_2_a_7,s,0.9997231
14821,emb,a_3_a_4,s,0.99709886
14821,emb,a_3_a_5,s,0.99820805
14821,emb,a_3_a_6,s,0.99827975
14821,emb,a_3_a_7,s,0.99820805
14821,emb,a_4_a_5,s,0.9980884
14821,emb,a_4_a_6,s,0.9982522
